bs,output_len,use_ffn,avg_duration
1,10,0,3.04
1,10,1,3.59
1,20,0,5.54
1,20,1,7.35
1,30,0,8.73
1,30,1,10.1
1,40,0,10.7
1,40,1,14.46
1,50,0,13.3
1,50,1,17.91
1,60,0,17.18
1,60,1,20.87
1,70,0,19.37
1,70,1,24.56
1,80,0,22.92
1,80,1,28.08
1,90,0,25.24
1,90,1,30.01
1,100,0,28.17
1,100,1,33.45
1,200,0,54.33
1,200,1,67.55
1,300,0,81.98
1,300,1,103.81
1,400,0,109.95
1,400,1,135.25
1,500,0,134.76
1,500,1,171.85
1,600,0,163.35
1,600,1,205.84
1,700,0,192.2
1,700,1,240.6
1,800,0,220.03
1,800,1,274.81
2,10,0,3.13
2,10,1,3.81
2,20,0,8.34
2,20,1,7.41
2,30,0,8.82
2,30,1,10.91
2,40,0,11.1
2,40,1,13.47
2,50,0,14.22
2,50,1,17.88
2,60,0,17.34
2,60,1,20.29
2,70,0,20.46
2,70,1,24.34
2,80,0,22.78
2,80,1,28.12
2,90,0,24.45
2,90,1,30.23
2,100,0,27.04
2,100,1,33.41
2,200,0,54.34
2,200,1,67
2,300,0,81.59
2,300,1,102.59
2,400,0,111.92
2,400,1,134.32
2,500,0,140.14
2,500,1,172.61
2,600,0,165.85
2,600,1,206.71
2,700,0,197.15
2,700,1,241.86
2,800,0,226.89
2,800,1,275.35
4,10,0,3.15
4,10,1,3.68
4,20,0,5.8
4,20,1,9.75
4,30,0,8.87
4,30,1,11.08
4,40,0,11.01
4,40,1,14.61
4,50,0,17.22
4,50,1,18.37
4,60,0,17.82
4,60,1,22.79
4,70,0,20.18
4,70,1,25.1
4,80,0,22.13
4,80,1,29.36
4,90,0,24.71
4,90,1,31.67
4,100,0,28.81
4,100,1,33.74
4,200,0,56.32
4,200,1,67.59
4,300,0,84.38
4,300,1,102.18
4,400,0,114.28
4,400,1,139.29
4,500,0,141.91
4,500,1,173.61
4,600,0,171.18
4,600,1,210.18
4,700,0,198.24
4,700,1,243.54
4,800,0,229.15
4,800,1,281.07
8,10,0,3
8,10,1,3.78
8,20,0,5.8
8,20,1,7.05
8,30,0,8.82
8,30,1,10.9
8,40,0,11.82
8,40,1,14.69
8,50,0,13.98
8,50,1,17.34
8,60,0,17.77
8,60,1,20.75
8,70,0,19.6
8,70,1,24.29
8,80,0,22.21
8,80,1,31.66
8,90,0,26.52
8,90,1,31
8,100,0,29.61
8,100,1,35.32
8,200,0,57.13
8,200,1,70.03
8,300,0,84.69
8,300,1,105.19
8,400,0,116.2
8,400,1,141.19
8,500,0,145.5
8,500,1,179.71
8,600,0,173.66
8,600,1,216.47
8,700,0,204.37
8,700,1,251.62
8,800,0,238.17
8,800,1,291.18
16,10,0,3.11
16,10,1,3.89
16,20,0,6.26
16,20,1,7.51
16,30,0,8.72
16,30,1,11.56
16,40,0,12.46
16,40,1,14.27
16,50,0,15.55
16,50,1,18.47
16,60,0,18.56
16,60,1,22.71
16,70,0,20.29
16,70,1,25.94
16,80,0,22.99
16,80,1,30.73
16,90,0,26.95
16,90,1,31.91
16,100,0,28.97
16,100,1,36.47
16,200,0,60.65
16,200,1,71.66
16,300,0,89.13
16,300,1,114.46
16,400,0,121
16,400,1,147.58
16,500,0,154.48
16,500,1,188.29
16,600,0,188.8
16,600,1,229.12
16,700,0,223.22
16,700,1,269.34
16,800,0,259.57
16,800,1,310.42
32,10,0,3.51
32,10,1,4.32
32,20,0,6.46
32,20,1,7.5
32,30,0,9.7
32,30,1,11.77
32,40,0,12.76
32,40,1,14.6
32,50,0,14.75
32,50,1,18.38
32,60,0,17.76
32,60,1,23.78
32,70,0,20.54
32,70,1,25.7
32,80,0,23.69
32,80,1,31
32,90,0,26.71
32,90,1,32.88
32,100,0,32.46
32,100,1,36.75
32,200,0,61.56
32,200,1,76.84
32,300,0,95.07
32,300,1,117.5
32,400,0,130.87
32,400,1,158.07
32,500,0,168.04
32,500,1,202.88
32,600,0,208.28
32,600,1,251.53
32,700,0,250.33
32,700,1,301.09
32,800,0,295.84
32,800,1,349.63
64,10,0,3.45
64,10,1,4.39
64,20,0,6.57
64,20,1,8.8
64,30,0,13.13
64,30,1,11.81
64,40,0,12.68
64,40,1,16.52
64,50,0,18.21
64,50,1,21.41
64,60,0,19.28
64,60,1,23.59
64,70,0,24.1
64,70,1,27.48
64,80,0,27.03
64,80,1,31.63
64,90,0,29.89
64,90,1,39.37
64,100,0,33.69
64,100,1,41.66
64,200,0,69.64
64,200,1,84.74
64,300,0,109.02
64,300,1,133.06
64,400,0,154.47
64,400,1,181.44
64,500,0,201.99
64,500,1,240.47
64,600,0,253.15
64,600,1,295.97
64,700,0,308.56
64,700,1,355.57
64,800,0,367.16
64,800,1,425.99
128,10,0,4.54
128,10,1,5.94
128,20,0,8.34
128,20,1,10.81
128,30,0,13.39
128,30,1,16.28
128,40,0,17.46
128,40,1,21.92
128,50,0,21.97
128,50,1,27.31
128,60,0,24.57
128,60,1,29.99
128,70,0,30.05
128,70,1,35.02
128,80,0,34.84
128,80,1,40.3
128,90,0,38.39
128,90,1,47.56
128,100,0,43.52
128,100,1,52.48
128,200,0,90.95
128,200,1,108.8
128,300,0,146.9
128,300,1,174.03
128,400,0,213.06
128,400,1,246.83
128,500,0,283.83
128,500,1,322.62
128,600,0,363.09
128,600,1,413.47
128,700,0,445.52
128,700,1,508.18
128,800,0,539.35
128,800,1,608.88
256,10,0,7.75
256,10,1,9.27
256,20,0,12.13
256,20,1,15.01
256,30,0,17.97
256,30,1,22.03
256,40,0,25.29
256,40,1,31.54
256,50,0,31.88
256,50,1,36.18
256,60,0,37.31
256,60,1,43.6
256,70,0,43.63
256,70,1,50.96
256,80,0,48.52
256,80,1,58.44
256,90,0,55.95
256,90,1,66.22
256,100,0,62.25
256,100,1,75.02
256,200,0,136.99
256,200,1,160.99
256,300,0,226.72
256,300,1,262.47
256,400,0,331.07
256,400,1,379.52
256,500,0,451.02
256,500,1,510.87
256,600,0,583.93
256,600,1,655.35
256,700,0,733.91
256,700,1,818.09
256,800,0,895.47
256,800,1,990.05
