bs,output_len,use_ffn,avg_duration
1,10,0,8.12
1,10,1,12.29
1,20,0,15.38
1,20,1,24.54
1,30,0,23.23
1,30,1,36.55
1,40,0,30.75
1,40,1,48.66
1,50,0,39.1
1,50,1,60.85
1,60,0,46.47
1,60,1,73.86
1,70,0,53.97
1,70,1,86.03
1,80,0,61.49
1,80,1,97.87
1,90,0,71.41
1,90,1,109.95
1,100,0,77.31
1,100,1,124.63
1,200,0,153.93
1,200,1,243.22
1,300,0,230.51
1,300,1,367.6
1,400,0,307.69
1,400,1,490.27
1,500,0,389.39
1,500,1,613.65
1,600,0,465.83
1,600,1,734.42
1,700,0,544.09
1,700,1,860.19
1,800,0,624.26
1,800,1,984.58
2,10,0,7.92
2,10,1,12.57
2,20,0,16.21
2,20,1,24.61
2,30,0,23.38
2,30,1,36.74
2,40,0,31.87
2,40,1,49.12
2,50,0,39.22
2,50,1,61.57
2,60,0,48.47
2,60,1,73.66
2,70,0,54.91
2,70,1,85.07
2,80,0,61.93
2,80,1,100.56
2,90,0,70.51
2,90,1,109.44
2,100,0,77.61
2,100,1,121.96
2,200,0,158.24
2,200,1,243.8
2,300,0,233.32
2,300,1,366.02
2,400,0,313.85
2,400,1,491.45
2,500,0,390.64
2,500,1,613.71
2,600,0,471.59
2,600,1,741.98
2,700,0,551.79
2,700,1,863.15
2,800,0,634
2,800,1,989.94
4,10,0,8
4,10,1,12.45
4,20,0,15.73
4,20,1,25.35
4,30,0,24.48
4,30,1,37.77
4,40,0,31.81
4,40,1,49.5
4,50,0,39.53
4,50,1,63.25
4,60,0,47.77
4,60,1,73.89
4,70,0,55.61
4,70,1,86.61
4,80,0,62.89
4,80,1,98.33
4,90,0,70.78
4,90,1,110.24
4,100,0,78.27
4,100,1,122.37
4,200,0,156.95
4,200,1,246.15
4,300,0,236.45
4,300,1,372.03
4,400,0,317.88
4,400,1,496.48
4,500,0,396.98
4,500,1,619.94
4,600,0,479.12
4,600,1,749.03
4,700,0,563.5
4,700,1,873.95
4,800,0,645.08
4,800,1,1001.18
8,10,0,8.18
8,10,1,12.85
8,20,0,16.67
8,20,1,25.86
8,30,0,24.13
8,30,1,37.46
8,40,0,32
8,40,1,49.74
8,50,0,40.07
8,50,1,62.12
8,60,0,48.13
8,60,1,74.37
8,70,0,55.99
8,70,1,89.64
8,80,0,64.17
8,80,1,99.68
8,90,0,72.21
8,90,1,112.18
8,100,0,80.03
8,100,1,124.73
8,200,0,163.14
8,200,1,251.86
8,300,0,243.26
8,300,1,376.67
8,400,0,327.44
8,400,1,505.02
8,500,0,412.56
8,500,1,633.81
8,600,0,498.95
8,600,1,768.83
8,700,0,589.39
8,700,1,899.84
8,800,0,677.35
8,800,1,1033.23
16,10,0,8.47
16,10,1,13.01
16,20,0,16.53
16,20,1,25.63
16,30,0,24.78
16,30,1,38.91
16,40,0,32.95
16,40,1,50.76
16,50,0,41.85
16,50,1,64.01
16,60,0,49.38
16,60,1,76.25
16,70,0,57.54
16,70,1,88.82
16,80,0,65.85
16,80,1,102.14
16,90,0,77.54
16,90,1,114.72
16,100,0,83.24
16,100,1,127.56
16,200,0,168.26
16,200,1,257.27
16,300,0,256.38
16,300,1,390.39
16,400,0,349.28
16,400,1,524.53
16,500,0,440.01
16,500,1,665.08
16,600,0,539.11
16,600,1,806.83
16,700,0,638.64
16,700,1,950.23
16,800,0,740.48
16,800,1,1096.8
32,10,0,8.7
32,10,1,14.21
32,20,0,16.73
32,20,1,28.34
32,30,0,25.49
32,30,1,39.01
32,40,0,33.25
32,40,1,51.62
32,50,0,41.55
32,50,1,64.5
32,60,0,50.03
32,60,1,77.83
32,70,0,58.71
32,70,1,90.22
32,80,0,66.86
32,80,1,102.96
32,90,0,75.56
32,90,1,118.54
32,100,0,83.87
32,100,1,129.03
32,200,0,176.25
32,200,1,265.08
32,300,0,272.24
32,300,1,405.88
32,400,0,370.48
32,400,1,548.7
32,500,0,476
32,500,1,699.5
32,600,0,590.14
32,600,1,859.11
32,700,0,703.7
32,700,1,1018.94
32,800,0,826.22
32,800,1,1186.38
64,10,0,10.37
64,10,1,15.43
64,20,0,18.2
64,20,1,29.67
64,30,0,26.93
64,30,1,42.61
64,40,0,35.69
64,40,1,55.41
64,50,0,44.58
64,50,1,68.75
64,60,0,55.78
64,60,1,82.57
64,70,0,63.51
64,70,1,96.35
64,80,0,72.05
64,80,1,110.2
64,90,0,81.3
64,90,1,126.04
64,100,0,91.58
64,100,1,138.4
64,200,0,195.09
64,200,1,285.47
64,300,0,305.68
64,300,1,444.67
64,400,0,430.68
64,400,1,612.76
64,500,0,564.12
64,500,1,795.63
64,600,0,711.56
64,600,1,986.61
64,700,0,868.69
64,700,1,1190.16
64,800,0,1030.76
64,800,1,1402.49
128,10,0,13.11
128,10,1,19.43
128,20,0,23.47
128,20,1,35.64
128,30,0,33.35
128,30,1,49.12
128,40,0,44.97
128,40,1,64.19
128,50,0,53.36
128,50,1,80.17
128,60,0,63.2
128,60,1,95.46
128,70,0,74.17
128,70,1,113.74
128,80,0,85.09
128,80,1,127.44
128,90,0,96.36
128,90,1,143.66
128,100,0,107.92
128,100,1,160.39
128,200,0,236.52
128,200,1,337.12
128,300,0,388.83
128,300,1,540.04
128,400,0,562.37
128,400,1,764.2
128,500,0,760.18
128,500,1,1008.94
128,600,0,974
128,600,1,1275.08
128,700,0,1210.43
128,700,1,1558.53
128,800,0,1468.67
128,800,1,1867.66
