bs,output_len,use_ffn,avg_duration
8,10,0,3.15
8,10,1,3.63
8,20,0,5.4425
8,20,1,6.84
8,30,0,7.905
8,30,1,10.2
8,40,0,10.1
8,40,1,12.44
8,50,0,12.9
8,50,1,16.46
8,60,0,15.48
8,60,1,19.93
8,70,0,17.14
8,70,1,22.75
8,80,0,19.75
8,80,1,26.16
8,90,0,23.02
8,90,1,29.53
8,100,0,26.61
8,100,1,32.49
8,200,0,50.68
8,200,1,65.94
8,300,0,75.5
8,300,1,93.52
8,400,0,102.692
8,400,1,130.86
8,500,0,125.14
8,500,1,155.942
8,600,0,154.9
8,600,1,193.743
8,700,0,179.49
8,700,1,220.39
8,800,0,210.28
8,800,1,261.73
16,10,0,3.09
16,10,1,4.07
16,20,0,6.47
16,20,1,7.96
16,30,0,9.4
16,30,1,11.4
16,40,0,11.88
16,40,1,15.01
16,50,0,14.67
16,50,1,18.77
16,60,0,17.7
16,60,1,21.42
16,70,0,20.1
16,70,1,25.63
16,80,0,23.38
16,80,1,29
16,90,0,24.76
16,90,1,31.6
16,100,0,30.48
16,100,1,36.85
16,200,0,58.71
16,200,1,73.31
16,300,0,85.63
16,300,1,107.755
16,400,0,113.31
16,400,1,137.57
16,500,0,139.63
16,500,1,174.98
16,600,0,180.292
16,600,1,214.09
16,700,0,210.86
16,700,1,260.16
16,800,0,234.3
16,800,1,285.88
32,10,0,3.63
32,10,1,4.62
32,20,0,7.61
32,20,1,8.67
32,30,0,11.65
32,30,1,13.87
32,40,0,14.35
32,40,1,17.13
32,50,0,18.24
32,50,1,20.74
32,60,0,20.15
32,60,1,24.83
32,70,0,23
32,70,1,29.43
32,80,0,26.08
32,80,1,34.2375
32,90,0,30.41
32,90,1,36.72
32,100,0,34.28
32,100,1,40.7
32,200,0,67.3
32,200,1,81.64
32,300,0,106.65
32,300,1,126.77
32,400,0,134.89
32,400,1,170.71
32,500,0,170.84
32,500,1,209.26
32,600,0,218.81
32,600,1,253.37
32,700,0,243.02
32,700,1,291.84
32,800,0,282.83
32,800,1,344.14
64,10,0,5.55
64,10,1,6.63
64,20,0,10.53
64,20,1,13.05
64,30,0,15.14
64,30,1,17.21
64,40,0,20.79
64,40,1,22.31
64,50,0,25.59
64,50,1,29.2
64,60,0,28.7675
64,60,1,34.08
64,70,0,32.97
64,70,1,41.47
64,80,0,39.1
64,80,1,44.07
64,90,0,44.99
64,90,1,54.31
64,100,0,50.93
64,100,1,58.05
64,200,0,101.56
64,200,1,116.25
64,300,0,147.23
64,300,1,177.485
64,400,0,200.93
64,400,1,231.81
64,500,0,254
64,500,1,295.16
64,600,0,306.36
64,600,1,358.99
64,700,0,364.33
64,700,1,418.79
64,800,0,426.675
64,800,1,479.27
128,10,0,8.58
128,10,1,9.51
128,20,0,15.83
128,20,1,17.67
128,30,0,23.38
128,30,1,25.87
128,40,0,29.65
128,40,1,34.81
128,50,0,37.91
128,50,1,44.27
128,60,0,45.2025
128,60,1,50.15
128,70,0,51.67
128,70,1,60.65
128,80,0,60.86
128,80,1,68.29
128,90,0,67.85
128,90,1,78.05
128,100,0,75.47
128,100,1,85.9
128,200,0,152.61
128,200,1,170.69
128,300,0,230.98
128,300,1,263.285
128,400,0,314.712
128,400,1,352.16
128,500,0,394.45
128,500,1,450.16
128,600,0,477.793
128,600,1,549.14
128,700,0,571.55
128,700,1,646.87
128,800,0,660.29
128,800,1,745.68
256,10,0,13.44
256,10,1,16.2
256,20,0,24.95
256,20,1,28.41
256,30,0,38.26
256,30,1,41.37
256,40,0,49.65
256,40,1,55.74
256,50,0,59.26
256,50,1,70.15
256,60,0,74.54
256,60,1,82.27
256,70,0,84.35
256,70,1,95.79
256,80,0,96.3
256,80,1,111.145
256,90,0,107.49
256,90,1,124.11
256,100,0,123.035
256,100,1,141.327
256,200,0,247.42
256,200,1,284.418
256,300,0,377.442
256,300,1,428.07
256,400,0,513.41
256,400,1,582.79
256,500,0,658.862
256,500,1,740.49
256,600,0,804.17
256,600,1,901.4
256,700,0,951.09
256,700,1,1071.49
256,800,0,1115.63
256,800,1,1245.39
