bs,output_len,use_ffn,avg_duration
8,10,0,5.78
8,10,1,8.53
8,20,0,11.14
8,20,1,16.15
8,30,0,16.425
8,30,1,24.01
8,40,0,21.75
8,40,1,31.16
8,50,0,26.42
8,50,1,41.76
8,60,0,32.06
8,60,1,46.4
8,70,0,36.99
8,70,1,53.88
8,80,0,41.02
8,80,1,63.84
8,90,0,46.21
8,90,1,69.62
8,100,0,51.94
8,100,1,76.67
8,200,0,102.31
8,200,1,152.61
8,300,0,153.51
8,300,1,229.81
8,400,0,206.59
8,400,1,306.21
8,500,0,259.74
8,500,1,388.14
8,600,0,315.74
8,600,1,468.24
8,700,0,370.29
8,700,1,546.52
8,800,0,424.63
8,800,1,626.59
16,10,0,6.1
16,10,1,8.9
16,20,0,11.79
16,20,1,17.06
16,30,0,17.26
16,30,1,24.81
16,40,0,22.73
16,40,1,32.95
16,50,0,30.39
16,50,1,40.87
16,60,0,32.47
16,60,1,49.01
16,70,0,37.86
16,70,1,58.22
16,80,0,43.66
16,80,1,63.66
16,90,0,48.48
16,90,1,71.14
16,100,0,54.62
16,100,1,79.47
16,200,0,107.5
16,200,1,158.93
16,300,0,163.16
16,300,1,240.24
16,400,0,219.81
16,400,1,322.04
16,500,0,280.1
16,500,1,408.33
16,600,0,339.2
16,600,1,494.16
16,700,0,402.815
16,700,1,581.33
16,800,0,462.67
16,800,1,669.35
32,10,0,7.14
32,10,1,10.42
32,20,0,13.57
32,20,1,19.94
32,30,0,20.14
32,30,1,29.08
32,40,0,25.73
32,40,1,36.72
32,50,0,31.36
32,50,1,45.52
32,60,0,38.35
32,60,1,54.4
32,70,0,44.94
32,70,1,63.77
32,80,0,50.19
32,80,1,72.3
32,90,0,56.93
32,90,1,82.05
32,100,0,64.96
32,100,1,90.99
32,200,0,128.29
32,200,1,181.23
32,300,0,193.6
32,300,1,276.07
32,400,0,261.83
32,400,1,372.55
32,500,0,336.95
32,500,1,476.01
32,600,0,413.31
32,600,1,578.33
32,700,0,489.86
32,700,1,685.8
32,800,0,573.29
32,800,1,793.96
64,10,0,8.59
64,10,1,12.96
64,20,0,16.45
64,20,1,22.93
64,30,0,23.64
64,30,1,33.11
64,40,0,30.31
64,40,1,42.46
64,50,0,37.63
64,50,1,52.68
64,60,0,44.27
64,60,1,61.96
64,70,0,53.79
64,70,1,72.1
64,80,0,58.84
64,80,1,83.13
64,90,0,66.1
64,90,1,95.22
64,100,0,73.46
64,100,1,103.19
64,200,0,150.83
64,200,1,208.96
64,300,0,236.69
64,300,1,321.98
64,400,0,321.64
64,400,1,438.82
64,500,0,416.73
64,500,1,561.85
64,600,0,518.11
64,600,1,691.45
64,700,0,621.58
64,700,1,827.89
64,800,0,738.87
64,800,1,965.11
128,10,0,12.33
128,10,1,17.72
128,20,0,22.36
128,20,1,29.88
128,30,0,31.91
128,30,1,43.21
128,40,0,41.21
128,40,1,56.02
128,50,0,51.2
128,50,1,68.62
128,60,0,60.75
128,60,1,81.63
128,70,0,70.6
128,70,1,94.96
128,80,0,80.47
128,80,1,108.05
128,90,0,93.87
128,90,1,121.1
128,100,0,101.25
128,100,1,137
128,200,0,211.23
128,200,1,277.17
128,300,0,333.45
128,300,1,432.16
128,400,0,464.55
128,400,1,596.91
128,500,0,607.74
128,500,1,774.29
128,600,0,766.75
128,600,1,962.71
128,700,0,929.69
128,700,1,1165.04
128,800,0,1112.49
128,800,1,1373.02
256,10,0,20.53
256,10,1,27.89
256,20,0,34.3
256,20,1,47.78
256,30,0,49.46
256,30,1,63.56
256,40,0,66.65
256,40,1,82.81
256,50,0,78.71
256,50,1,103.4
256,60,0,94.01
256,60,1,120.065
256,70,0,108.28
256,70,1,141.01
256,80,0,124.43
256,80,1,160.01
256,90,0,142.31
256,90,1,178.68
256,100,0,156.93
256,100,1,201.51
256,200,0,332.9
256,200,1,415.79
256,300,0,532.3
256,300,1,657.85
256,400,0,751.58
256,400,1,916.25
256,500,0,995.95
256,500,1,1196.14
256,600,0,1258.84
256,600,1,1509.11
256,700,0,1545.8
256,700,1,1831.8
256,800,0,1853.14
256,800,1,2179.73
