bs,output_len,use_ffn,avg_duration
8,10,0,7.1
8,10,1,12.06
8,20,0,13.73
8,20,1,23.52
8,30,0,20.44
8,30,1,34.07
8,40,0,26.9
8,40,1,45.25
8,50,0,32.93
8,50,1,56.53
8,60,0,39.3
8,60,1,67
8,70,0,45.43
8,70,1,78.07
8,80,0,51.48
8,80,1,88.18
8,90,0,57.5
8,90,1,99.78
8,100,0,64.46
8,100,1,114.27
8,200,0,127.92
8,200,1,223.47
8,300,0,193.9
8,300,1,335.94
8,400,0,260.27
8,400,1,448.28
8,500,0,327.15
8,500,1,562.44
8,600,0,394.45
8,600,1,676.56
8,700,0,458.54
8,700,1,788.31
8,800,0,527.59
8,800,1,907.36
16,10,0,7.8
16,10,1,12.94
16,20,0,14.95
16,20,1,24.95
16,30,0,21.72
16,30,1,36.39
16,40,0,28.3
16,40,1,47.45
16,50,0,35.08
16,50,1,61.61
16,60,0,41.29
16,60,1,70.25
16,70,0,48.05
16,70,1,81.88
16,80,0,54.43
16,80,1,92.98
16,90,0,61.86
16,90,1,104.22
16,100,0,68.37
16,100,1,115.6
16,200,0,136.38
16,200,1,234.86
16,300,0,206.18
16,300,1,350.18
16,400,0,277.06
16,400,1,470.94
16,500,0,349.36
16,500,1,591.76
16,600,0,426.51
16,600,1,713.8
16,700,0,500.4
16,700,1,838.14
16,800,0,583.78
16,800,1,963.21
32,10,0,8.4
32,10,1,14.23
32,20,0,15.8
32,20,1,26.56
32,30,0,23.11
32,30,1,38.22
32,40,0,29.26
32,40,1,49.9
32,50,0,37.03
32,50,1,60.87
32,60,0,47.45
32,60,1,72.55
32,70,0,51.6
32,70,1,85.06
32,80,0,61.13
32,80,1,95.99
32,90,0,65.36
32,90,1,108.93
32,100,0,72.39
32,100,1,120.44
32,200,0,146.42
32,200,1,242.69
32,300,0,224.06
32,300,1,366.82
32,400,0,303.9
32,400,1,492.54
32,500,0,386.8
32,500,1,626.79
32,600,0,472.16
32,600,1,759.88
32,700,0,559.94
32,700,1,896.96
32,800,0,651.58
32,800,1,1035.16
64,10,0,10.45
64,10,1,17.07
64,20,0,18.62
64,20,1,29.93
64,30,0,26.14
64,30,1,42.79
64,40,0,34.2
64,40,1,56.54
64,50,0,42.28
64,50,1,68.4
64,60,0,50.72
64,60,1,81.65
64,70,0,59.06
64,70,1,94.12
64,80,0,66.58
64,80,1,108.13
64,90,0,75.2
64,90,1,121.23
64,100,0,83.9825
64,100,1,135.17
64,200,0,172.49
64,200,1,271.9
64,300,0,264.76
64,300,1,417.62
64,400,0,359.32
64,400,1,566.25
64,500,0,465.148
64,500,1,720.5
64,600,0,573.07
64,600,1,878.23
64,700,0,686.16
64,700,1,1042.24
64,800,0,804.96
64,800,1,1214.52
128,10,0,14.38
128,10,1,23.29
128,20,0,25.01
128,20,1,38.4375
128,30,0,34.86
128,30,1,53.63
128,40,0,45.32
128,40,1,68.93
128,50,0,55.1
128,50,1,84.42
128,60,0,64.62
128,60,1,100.1
128,70,0,75.09
128,70,1,115.15
128,80,0,85.85
128,80,1,131.43
128,90,0,96.1
128,90,1,147.56
128,100,0,107.678
128,100,1,163.82
128,200,0,221.38
128,200,1,332.56
128,300,0,348.39
128,300,1,515.5
128,400,0,484.47
128,400,1,707.5
128,500,0,630.88
128,500,1,909.4
128,600,0,801.42
128,600,1,1124.03
128,700,0,961.68
128,700,1,1347.63
128,800,0,1144.25
128,800,1,1588.71
256,10,0,22.84
256,10,1,36.69
256,20,0,37.2675
256,20,1,57.19
256,30,0,51.1
256,30,1,78.6
256,40,0,64.35
256,40,1,99.72
256,50,0,79
256,50,1,121.34
256,60,0,93.7
256,60,1,144.02
256,70,0,108.16
256,70,1,165.15
256,80,0,122.77
256,80,1,188.69
256,90,0,138.02
256,90,1,211.07
256,100,0,152.9
256,100,1,233.91
256,200,0,322.09
256,200,1,478.57
256,300,0,516.93
256,300,1,746.78
256,400,0,731.94
256,400,1,1037.03
256,500,0,968.362
256,500,1,1348.61
256,600,0,1230.57
256,600,1,1683.67
256,700,0,1510.08
256,700,1,2036.1
256,800,0,1811.87
256,800,1,2410.68
