bs,output_len,use_ffn,avg_duration
1,10,0,32.84
1,10,1,58.5
1,20,0,64.39
1,20,1,116.6
1,30,0,95.98
1,30,1,173.57
1,40,0,128.71
1,40,1,230.96
1,50,0,160.91
1,50,1,292.18
1,60,0,193.07
1,60,1,350.68
1,70,0,225.87
1,70,1,403.64
1,80,0,255.5
1,80,1,462.57
1,90,0,289.71
1,90,1,520.99
1,100,0,320.05
1,100,1,582.44
1,200,0,642.16
1,200,1,1154.44
1,300,0,959.8
1,300,1,1744.99
1,400,0,1280.04
1,400,1,2319.01
1,500,0,1610.6
1,500,1,2895.2
1,600,0,1924.85
1,600,1,3495.77
1,700,0,2258.08
1,700,1,4087.4
1,800,0,2581.46
1,800,1,4640.37
2,10,0,53.9
2,10,1,80.11
2,20,0,109.24
2,20,1,161.57
2,30,0,166.27
2,30,1,242.52
2,40,0,220.83
2,40,1,324.75
2,50,0,276.5
2,50,1,405.17
2,60,0,332.49
2,60,1,486.71
2,70,0,387.82
2,70,1,570.96
2,80,0,442.52
2,80,1,650.04
2,90,0,501.13
2,90,1,732.69
2,100,0,558.41
2,100,1,811.94
2,200,0,1112.73
2,200,1,1637.07
2,300,0,1669.26
2,300,1,2448.01
2,400,0,2241.12
2,400,1,3258.77
2,500,0,2792.44
2,500,1,4098.41
2,600,0,3351.21
2,600,1,4914.98
2,700,0,3906.93
2,700,1,5717.67
2,800,0,4502.54
2,800,1,6544.75
4,10,0,33.06
4,10,1,59
4,20,0,65.49
4,20,1,118.19
4,30,0,99.28
4,30,1,176.07
4,40,0,130.23
4,40,1,235.13
4,50,0,165.67
4,50,1,292.42
4,60,0,196.44
4,60,1,352.12
4,70,0,228.81
4,70,1,411.68
4,80,0,260.86
4,80,1,471.82
4,90,0,291.89
4,90,1,526.96
4,100,0,326.65
4,100,1,589.28
4,200,0,653.46
4,200,1,1173.12
4,300,0,979.42
4,300,1,1760.47
4,400,0,1315.74
4,400,1,2355.06
4,500,0,1653.19
4,500,1,2943.72
4,600,0,2005.63
4,600,1,3530.26
4,700,0,2326.76
4,700,1,4140.91
4,800,0,2654.79
4,800,1,4743.45
8,10,0,33.66
8,10,1,60.67
8,20,0,66.55
8,20,1,119.32
8,30,0,98.89
8,30,1,179.8
8,40,0,132.52
8,40,1,238.98
8,50,0,167.07
8,50,1,296.15
8,60,0,199.11
8,60,1,356.23
8,70,0,232.05
8,70,1,414.83
8,80,0,264.57
8,80,1,476.21
8,90,0,298.74
8,90,1,538.19
8,100,0,332.64
8,100,1,594.38
8,200,0,668.35
8,200,1,1193.95
8,300,0,1001.01
8,300,1,1796.6
8,400,0,1351.23
8,400,1,2396
8,500,0,1688.32
8,500,1,3022.4
8,600,0,2067.03
8,600,1,3639.66
8,700,0,2425.07
8,700,1,4249.5
8,800,0,2764.06
8,800,1,4840.62
16,10,0,36.2
16,10,1,65.86
16,20,0,69.52
16,20,1,126.32
16,30,0,103.09
16,30,1,185.73
16,40,0,137.72
16,40,1,248.06
16,50,0,172.12
16,50,1,308.93
16,60,0,206.24
16,60,1,370.14
16,70,0,239.32
16,70,1,430.54
16,80,0,276.02
16,80,1,490.86
16,90,0,310.55
16,90,1,553.04
16,100,0,341.02
16,100,1,610.9
16,200,0,694.69
16,200,1,1233.89
16,300,0,1056.49
16,300,1,1858.04
16,400,0,1422.77
16,400,1,2500.02
16,500,0,1804.51
16,500,1,3143.5
16,600,0,2182.1
16,600,1,3792.69
16,700,0,2554.07
16,700,1,4450.08
16,800,0,2987.12
16,800,1,5114.1
32,10,0,40.4
32,10,1,74.03
32,20,0,77
32,20,1,137.56
32,30,0,113.41
32,30,1,200.81
32,40,0,150.17
32,40,1,264.02
32,50,0,187.21
32,50,1,327.59
32,60,0,223.83
32,60,1,392.16
32,70,0,261.25
32,70,1,456.04
32,80,0,298.63
32,80,1,520.55
32,90,0,336.42
32,90,1,585.71
32,100,0,372.54
32,100,1,650.04
32,200,0,759.95
32,200,1,1305.78
32,300,0,1167.77
32,300,1,1981.19
32,400,0,1590.03
32,400,1,2674.41
32,500,0,2028.4
32,500,1,3382.28
32,600,0,2483.84
32,600,1,4103.05
32,700,0,2959.72
32,700,1,4844.17
32,800,0,3441.36
32,800,1,5601.98
64,10,0,56.45
64,10,1,97.46
64,20,0,104.31
64,20,1,173.75
64,30,0,152.74
64,30,1,251.08
64,40,0,201.66
64,40,1,327.5
64,50,0,250.24
64,50,1,403.85
64,60,0,299.48
64,60,1,481.71
64,70,0,348.63
64,70,1,558.7
64,80,0,398.87
64,80,1,636.76
64,90,0,450.04
64,90,1,715.32
64,100,0,499.52
64,100,1,794.37
64,200,0,1025.15
64,200,1,1601.63
64,300,0,1590.61
64,300,1,2447.97
64,400,0,2184.65
64,400,1,3320.12
64,500,0,2810.31
64,500,1,4238.74
64,600,0,3476.21
64,600,1,5174.55
64,700,0,4162.77
64,700,1,6154.12
64,800,0,4886.05
64,800,1,7157.09
128,10,0,74.89
128,10,1,137.68
128,20,0,133.33
128,20,1,229.6
128,30,0,191.95
128,30,1,320.44
128,40,0,250.56
128,40,1,411.99
128,50,0,311.15
128,50,1,504.62
128,60,0,371.94
128,60,1,598.75
128,70,0,433.04
128,70,1,693.93
128,80,0,497.05
128,80,1,789.82
128,90,0,559.13
128,90,1,884.72
128,100,0,624.64
128,100,1,980.18
128,200,0,1305.75
128,200,1,1989.01
128,300,0,2052.49
128,300,1,3050.12
128,400,0,2870.71
128,400,1,4195.73
128,500,0,3768.46
128,500,1,5392.28
128,600,0,4722.17
128,600,1,6661.65
128,700,0,5730.54
128,700,1,7992.78
128,800,0,6864.35
128,800,1,9407.32
