bs,output_len,use_ffn,avg_duration
8,10,0,4.18
8,10,1,5.98
8,20,0,8.26
8,20,1,10.75
8,30,0,11.57
8,30,1,15.64
8,40,0,16.31
8,40,1,21.3
8,50,0,19.87
8,50,1,25.62
8,60,0,23.27
8,60,1,32.21
8,70,0,26.69
8,70,1,36.38
8,80,0,29.66
8,80,1,41.55
8,90,0,33.47
8,90,1,46.36
8,100,0,38.51
8,100,1,51.66
8,200,0,75.03
8,200,1,102.808
8,300,0,112.17
8,300,1,152.57
8,400,0,148.79
8,400,1,206.55
8,500,0,185
8,500,1,258.55
8,600,0,228.06
8,600,1,315.515
8,700,0,272.33
8,700,1,363.68
8,800,0,306.77
8,800,1,436.442
16,10,0,4.73
16,10,1,6.22
16,20,0,9.47
16,20,1,11.93
16,30,0,13.02
16,30,1,16.7
16,40,0,18.16
16,40,1,23.9
16,50,0,21.53
16,50,1,28.7075
16,60,0,25.06
16,60,1,34.25
16,70,0,28.51
16,70,1,38.37
16,80,0,33.83
16,80,1,46.54
16,90,0,37.03
16,90,1,49.59
16,100,0,41.8
16,100,1,55.89
16,200,0,81.7325
16,200,1,112.54
16,300,0,125.46
16,300,1,167.4
16,400,0,166.33
16,400,1,223.78
16,500,0,209.91
16,500,1,281.02
16,600,0,254.62
16,600,1,338.87
16,700,0,296.38
16,700,1,402.93
16,800,0,349.48
16,800,1,467.14
32,10,0,5.05
32,10,1,7.03
32,20,0,9.6875
32,20,1,12.27
32,30,0,15.12
32,30,1,17.97
32,40,0,18.88
32,40,1,24.77
32,50,0,23.51
32,50,1,29.69
32,60,0,28.04
32,60,1,36.08
32,70,0,32.82
32,70,1,41.16
32,80,0,36.43
32,80,1,50.03
32,90,0,41.21
32,90,1,53.64
32,100,0,45.26
32,100,1,59.045
32,200,0,91.97
32,200,1,122.34
32,300,0,141.09
32,300,1,178.96
32,400,0,190.38
32,400,1,240.57
32,500,0,247.14
32,500,1,307.075
32,600,0,295.45
32,600,1,372.89
32,700,0,344.26
32,700,1,439.41
32,800,0,402.65
32,800,1,522.24
64,10,0,7.42
64,10,1,9.43
64,20,0,15.42
64,20,1,18.67
64,30,0,22.29
64,30,1,27.77
64,40,0,27.73
64,40,1,34.64
64,50,0,34.18
64,50,1,43.77
64,60,0,41.35
64,60,1,51.6675
64,70,0,48.42
64,70,1,61.7
64,80,0,54.69
64,80,1,69.43
64,90,0,64.71
64,90,1,78.47
64,100,0,68.7
64,100,1,84.95
64,200,0,138.343
64,200,1,174.2
64,300,0,210.785
64,300,1,258.73
64,400,0,289.55
64,400,1,353.26
64,500,0,370
64,500,1,451.202
64,600,0,446.48
64,600,1,545.36
64,700,0,539.93
64,700,1,646.95
64,800,0,616.305
64,800,1,747.24
128,10,0,11.8
128,10,1,15.565
128,20,0,22.01
128,20,1,27.4675
128,30,0,31.345
128,30,1,39.9
128,40,0,42.12
128,40,1,51.96
128,50,0,52.36
128,50,1,66.02
128,60,0,62.55
128,60,1,77.82
128,70,0,73.43
128,70,1,89.51
128,80,0,82.25
128,80,1,102.395
128,90,0,96.01
128,90,1,112.73
128,100,0,104.32
128,100,1,129.71
128,200,0,214.25
128,200,1,266.61
128,300,0,328.74
128,300,1,397.78
128,400,0,452.76
128,400,1,530.39
128,500,0,568.25
128,500,1,703.17
128,600,0,706.67
128,600,1,841.6
128,700,0,835.42
128,700,1,995.68
128,800,0,948.04
128,800,1,1162.53
256,10,0,18.51
256,10,1,23.27
256,20,0,33.8825
256,20,1,42.31
256,30,0,49.59
256,30,1,61.12
256,40,0,64.47
256,40,1,79.54
256,50,0,82.2
256,50,1,97.8725
256,60,0,96.96
256,60,1,117.933
256,70,0,113.85
256,70,1,138.085
256,80,0,132.07
256,80,1,156.46
256,90,0,147.07
256,90,1,177.75
256,100,0,164.27
256,100,1,198.17
256,200,0,327.09
256,200,1,410.1
256,300,0,521.95
256,300,1,623.85
256,400,0,700.96
256,400,1,845.07
256,500,0,918.81
256,500,1,1062.92
256,600,0,1120.66
256,600,1,1327.79
256,700,0,1372.46
256,700,1,1600.04
256,800,0,1595.8
256,800,1,1884.38
