bs,output_len,use_ffn,avg_duration
8,10,0,36.57
8,10,1,73.31
8,20,0,71.92
8,20,1,144.66
8,30,0,108.03
8,30,1,217.17
8,40,0,146.28
8,40,1,289.02
8,50,0,179.835
8,50,1,361.95
8,60,0,218.31
8,60,1,435.06
8,70,0,250.94
8,70,1,504.45
8,80,0,287.02
8,80,1,578
8,90,0,323.9
8,90,1,648.69
8,100,0,359.24
8,100,1,724.32
8,200,0,722.78
8,200,1,1449.07
8,300,0,1092.94
8,300,1,2175.9
8,400,0,1464.84
8,400,1,2913.62
8,500,0,1838.89
8,500,1,3639.02
8,600,0,2213.85
8,600,1,4392.93
8,700,0,2597.24
8,700,1,5137.51
8,800,0,2994.83
8,800,1,5870.86
16,10,0,39.35
16,10,1,79.82
16,20,0,75.385
16,20,1,153.89
16,30,0,111.7
16,30,1,226.39
16,40,0,149.04
16,40,1,300.47
16,50,0,184.99
16,50,1,377.05
16,60,0,222.03
16,60,1,448.76
16,70,0,259.04
16,70,1,523.28
16,80,0,296.46
16,80,1,595.04
16,90,0,333.02
16,90,1,667.32
16,100,0,370.1
16,100,1,744.39
16,200,0,750
16,200,1,1493.48
16,300,0,1131.8
16,300,1,2245.57
16,400,0,1522.38
16,400,1,2989.67
16,500,0,1916.28
16,500,1,3767.9
16,600,0,2315.52
16,600,1,4558.22
16,700,0,2748.93
16,700,1,5342.35
16,800,0,3157.32
16,800,1,6110.39
32,10,0,44.8
32,10,1,90.665
32,20,0,84.86
32,20,1,168.16
32,30,0,124.16
32,30,1,245.53
32,40,0,163.27
32,40,1,321.51
32,50,0,204.01
32,50,1,399.42
32,60,0,243.59
32,60,1,478.01
32,70,0,283.87
32,70,1,557.14
32,80,0,326.12
32,80,1,634.33
32,90,0,366.29
32,90,1,712.04
32,100,0,406.925
32,100,1,790.92
32,200,0,826.04
32,200,1,1588.42
32,300,0,1248.21
32,300,1,2401.05
32,400,0,1697.79
32,400,1,3225.28
32,500,0,2169.64
32,500,1,4071.41
32,600,0,2649.82
32,600,1,4903.12
32,700,0,3140.69
32,700,1,5789.37
32,800,0,3629.38
32,800,1,6649.56
64,10,0,63.25
64,10,1,120.57
64,20,0,114.23
64,20,1,211.74
64,30,0,165.04
64,30,1,303.8
64,40,0,217.38
64,40,1,391.65
64,50,0,270.22
64,50,1,484.44
64,60,0,319.42
64,60,1,575.26
64,70,0,372.98
64,70,1,667.75
64,80,0,428.89
64,80,1,760.89
64,90,0,480.04
64,90,1,850.2
64,100,0,532.46
64,100,1,946.95
64,200,0,1084.93
64,200,1,1894.89
64,300,0,1664.07
64,300,1,2869.59
64,400,0,2280.18
64,400,1,3865.27
64,500,0,2924.11
64,500,1,4907.95
64,600,0,3575.71
64,600,1,5957.52
64,700,0,4274.41
64,700,1,7047.96
64,800,0,4991.34
64,800,1,8160.91
128,10,0,85.56
128,10,1,172.01
128,20,0,147.42
128,20,1,278.08
128,30,0,209.23
128,30,1,385.23
128,40,0,272.74
128,40,1,496.62
128,50,0,335.63
128,50,1,601.58
128,60,0,401.99
128,60,1,713.05
128,70,0,467.82
128,70,1,817.81
128,80,0,532.33
128,80,1,934.14
128,90,0,599.82
128,90,1,1042.59
128,100,0,662.83
128,100,1,1155.07
128,200,0,1374.35
128,200,1,2301.47
128,300,0,2134.14
