bs,output_len,use_ffn,avg_duration
8,10,0,4.29
8,10,1,5.7
8,20,0,8.42
8,20,1,10.95
8,30,0,12.14
8,30,1,16.21
8,40,0,15.98
8,40,1,21.82
8,50,0,20.28
8,50,1,26.99
8,60,0,24.33
8,60,1,31.68
8,70,0,27.3
8,70,1,36.27
8,80,0,30.95
8,80,1,40.72
8,90,0,34.07
8,90,1,48.37
8,100,0,38.08
8,100,1,50.67
8,200,0,75.02
8,200,1,98.5
8,300,0,111.83
8,300,1,149.74
8,400,0,151.25
8,400,1,198.81
8,500,0,191.39
8,500,1,250.56
8,600,0,229.83
8,600,1,302.83
8,700,0,267.43
8,700,1,354.5
8,800,0,307.89
8,800,1,408.16
16,10,0,4.63
16,10,1,6.15
16,20,0,8.82
16,20,1,11.67
16,30,0,13.11
16,30,1,17.44
16,40,0,17.81
16,40,1,22.87
16,50,0,21.26
16,50,1,27.98
16,60,0,25.99
16,60,1,33.43
16,70,0,28.61
16,70,1,39.45
16,80,0,33.39
16,80,1,43.8
16,90,0,37.72
16,90,1,48.19
16,100,0,41.33
16,100,1,53.68
16,200,0,81.51
16,200,1,105.92
16,300,0,120.83
16,300,1,159.41
16,400,0,162.03
16,400,1,214.13
16,500,0,205.46
16,500,1,269.57
16,600,0,247.93
16,600,1,327.03
16,700,0,294.61
16,700,1,384.54
16,800,0,340.59
16,800,1,443.17
32,10,0,5.29
32,10,1,6.88
32,20,0,10
32,20,1,12.96
32,30,0,14.69
32,30,1,18.98
32,40,0,19.01
32,40,1,25.02
32,50,0,22.85
32,50,1,31.12
32,60,0,28.71
32,60,1,36.5
32,70,0,31.7
32,70,1,45.25
32,80,0,36.49
32,80,1,48.17
32,90,0,42
32,90,1,52.55
32,100,0,45.25
32,100,1,58.66
32,200,0,94.31
32,200,1,117.42
32,300,0,139.46
32,300,1,177.14
32,400,0,188.6
32,400,1,241.77
32,500,0,241.1
32,500,1,305.865
32,600,0,293.38
32,600,1,372.34
32,700,0,349.33
32,700,1,439.69
32,800,0,406.57
32,800,1,508.71
64,10,0,6.57
64,10,1,8.66
64,20,0,12.5
64,20,1,16.16
64,30,0,18.12
64,30,1,22.6
64,40,0,24.27
64,40,1,29.41
64,50,0,29.21
64,50,1,37.54
64,60,0,34.1
64,60,1,43.81
64,70,0,40.17
64,70,1,51.81
64,80,0,45.67
64,80,1,58.76
64,90,0,50.85
64,90,1,67.48
64,100,0,57.17
64,100,1,72.38
64,200,0,114.76
64,200,1,146.51
64,300,0,178.43
64,300,1,224.95
64,400,0,243.25
64,400,1,306.84
64,500,0,314.31
64,500,1,392.34
64,600,0,389.72
64,600,1,482.61
64,700,0,467.56
64,700,1,577.48
64,800,0,548
64,800,1,669.66
128,10,0,9.98
128,10,1,12.93
128,20,0,18.93
128,20,1,23.77
128,30,0,26.86
128,30,1,32.64
128,40,0,33.54
128,40,1,42.72
128,50,0,43.03
128,50,1,52.17
128,60,0,49.94
128,60,1,62.21
128,70,0,58.6
128,70,1,73.58
128,80,0,66.8
128,80,1,81.57
128,90,0,75.41
128,90,1,91.23
128,100,0,83.45
128,100,1,100.46
128,200,0,173
128,200,1,205.62
128,300,0,264.98
128,300,1,319.53
128,400,0,370.76
128,400,1,441.02
128,500,0,479.88
128,500,1,569.88
128,600,0,598.23
128,600,1,703.32
128,700,0,723.91
128,700,1,848.3
128,800,0,854.26
128,800,1,998.72
256,10,0,16.34
256,10,1,21.34
256,20,0,29.38
256,20,1,36.43
256,30,0,40.91
256,30,1,51.71
256,40,0,54.73
256,40,1,67.84
256,50,0,66.04
256,50,1,83.58
256,60,0,79.47
256,60,1,97.67
256,70,0,93.3
256,70,1,112.45
256,80,0,107.06
256,80,1,127.64
256,90,0,119.99
256,90,1,145.71
256,100,0,135.01
256,100,1,160.325
256,200,0,276.49
256,200,1,334.91
256,300,0,440.65
256,300,1,523.06
256,400,0,613.58
256,400,1,725.58
256,500,0,808.11
256,500,1,940.23
256,600,0,1012.52
256,600,1,1177.2
256,700,0,1229.69
256,700,1,1418.91
256,800,0,1461.53
256,800,1,1679.92
