bs,output_len,use_ffn,avg_duration
8,10,0,7.13
8,10,1,12.04
8,20,0,13.75
8,20,1,23.54
8,30,0,20.36
8,30,1,33.77
8,40,0,27.21
8,40,1,45.4
8,50,0,32.43
8,50,1,55.79
8,60,0,39.16
8,60,1,66.59
8,70,0,45.03
8,70,1,78.28
8,80,0,51.79
8,80,1,88.5
8,90,0,57.57
8,90,1,99.81
8,100,0,64.18
8,100,1,110.61
8,200,0,127.89
8,200,1,221.6
8,300,0,191.23
8,300,1,333.468
8,400,0,256.83
8,400,1,446.75
8,500,0,323.09
8,500,1,560.31
8,600,0,390.88
8,600,1,673.783
8,700,0,458.43
8,700,1,789.44
8,800,0,526.99
8,800,1,904.97
16,10,0,7.7
16,10,1,12.95
16,20,0,14.71
16,20,1,25
16,30,0,21.87
16,30,1,36.39
16,40,0,28.6
16,40,1,47.59
16,50,0,35.25
16,50,1,58.92
16,60,0,41.44
16,60,1,70.51
16,70,0,48.05
16,70,1,81.59
16,80,0,54.61
16,80,1,92.88
16,90,0,61.27
16,90,1,104.48
16,100,0,67.95
16,100,1,115.75
16,200,0,136.64
16,200,1,231.91
16,300,0,205.68
16,300,1,350.1
16,400,0,278.28
16,400,1,471.2
16,500,0,350.39
16,500,1,592.72
16,600,0,425.65
16,600,1,713.92
16,700,0,501.42
16,700,1,837.36
16,800,0,575.52
16,800,1,962.59
32,10,0,8.47
32,10,1,14.1
32,20,0,15.88
32,20,1,25.99
32,30,0,23.0025
32,30,1,38.13
32,40,0,30.31
32,40,1,49.45
32,50,0,37.16
32,50,1,61.23
32,60,0,44.5
32,60,1,72.42
32,70,0,51.54
32,70,1,84.77
32,80,0,57.91
32,80,1,96.58
32,90,0,65.74
32,90,1,108.14
32,100,0,73.07
32,100,1,119.97
32,200,0,147.66
32,200,1,241.78
32,300,0,223.72
32,300,1,367.05
32,400,0,304.61
32,400,1,492.92
32,500,0,386.79
32,500,1,625.34
32,600,0,472.38
32,600,1,760.16
32,700,0,562.37
32,700,1,896.25
32,800,0,651.18
32,800,1,1034.9
64,10,0,10.23
64,10,1,17.09
64,20,0,18.62
64,20,1,30.15
64,30,0,26.36
64,30,1,42.61
64,40,0,34.76
64,40,1,56
64,50,0,42.56
64,50,1,68.31
64,60,0,51.16
64,60,1,81.79
64,70,0,59.42
64,70,1,94.57
64,80,0,67.19
64,80,1,107.76
64,90,0,75.15
64,90,1,121.33
64,100,0,83.84
64,100,1,134.64
64,200,0,169.88
64,200,1,272.33
64,300,0,263.14
64,300,1,415.88
64,400,0,359.5
64,400,1,563.97
64,500,0,463.065
64,500,1,719.87
64,600,0,573.37
64,600,1,879.68
64,700,0,687.99
64,700,1,1046.68
64,800,0,807.633
64,800,1,1213.25
128,10,0,14.12
128,10,1,23.31
128,20,0,24.78
128,20,1,38.89
128,30,0,34.45
128,30,1,53.22
128,40,0,45.15
128,40,1,68.95
128,50,0,55.22
128,50,1,84.29
128,60,0,65.63
128,60,1,100.48
128,70,0,75.62
128,70,1,115.67
128,80,0,85
128,80,1,131.53
128,90,0,96.52
128,90,1,148.23
128,100,0,107.72
128,100,1,163.98
128,200,0,221.13
128,200,1,332.55
128,300,0,347.86
128,300,1,516.19
128,400,0,484.9
128,400,1,709.77
128,500,0,632.13
128,500,1,909.05
128,600,0,792.89
128,600,1,1124.49
128,700,0,961.51
128,700,1,1350.8
128,800,0,1142.62
128,800,1,1587.36
256,10,0,22.71
256,10,1,36.94
256,20,0,37.09
256,20,1,57.86
256,30,0,49.87
256,30,1,78.89
256,40,0,65.38
256,40,1,100.59
256,50,0,79.16
256,50,1,122.1
256,60,0,93.6
256,60,1,144.31
256,70,0,108.5
256,70,1,165.822
256,80,0,122.58
256,80,1,188.55
256,90,0,137.26
256,90,1,210.84
256,100,0,154.07
256,100,1,233.89
256,200,0,322.28
256,200,1,480.21
256,300,0,516.77
256,300,1,749.58
256,400,0,731.62
256,400,1,1040.39
256,500,0,968.02
256,500,1,1351.21
256,600,0,1230.56
256,600,1,1685.87
256,700,0,1509.67
256,700,1,2038.15
256,800,0,1812.22
256,800,1,2416.54
