bs,output_len,use_ffn,avg_duration
8,10,0,8.23
8,10,1,12.68
8,20,0,15.3963
8,20,1,23.55
8,30,0,22.62
8,30,1,34.9325
8,40,0,31.09
8,40,1,46.73
8,50,0,37.45
8,50,1,58.51
8,60,0,45.56
8,60,1,70.66
8,70,0,52.53
8,70,1,82.03
8,80,0,60.21
8,80,1,93.57
8,90,0,68.41
8,90,1,104.64
8,100,0,74.43
8,100,1,117.12
8,200,0,150.43
8,200,1,231.63
8,300,0,226.916
8,300,1,349.72
8,400,0,304.44
8,400,1,467.471
8,500,0,377.366
8,500,1,584.171
8,600,0,452.745
8,600,1,698.3
8,700,0,534.54
8,700,1,816.73
8,800,0,608.39
8,800,1,937.61
16,10,0,8.78
16,10,1,13.26
16,20,0,16.87
16,20,1,25.55
16,30,0,23.835
16,30,1,37.64
16,40,0,31.5637
16,40,1,49.62
16,50,0,39.85
16,50,1,60.9
16,60,0,47.98
16,60,1,72.9
16,70,0,55.57
16,70,1,85.64
16,80,0,63.67
16,80,1,97.62
16,90,0,70.52
16,90,1,109.5
16,100,0,79.04
16,100,1,121.219
16,200,0,157.615
16,200,1,244.29
16,300,0,240.731
16,300,1,365.363
16,400,0,321.19
16,400,1,489.23
16,500,0,401.263
16,500,1,611.182
16,600,0,488.11
16,600,1,738.59
16,700,0,572.87
16,700,1,865.43
16,800,0,654.991
16,800,1,994.26
32,10,0,10.43
32,10,1,16.12
32,20,0,19.11
32,20,1,28.42
32,30,0,28.04
32,30,1,42.17
32,40,0,37.3
32,40,1,55.69
32,50,0,44.98
32,50,1,68.72
32,60,0,54.11
32,60,1,82.75
32,70,0,63.39
32,70,1,96.22
32,80,0,72.16
32,80,1,109.96
32,90,0,81
32,90,1,122.209
32,100,0,89.24
32,100,1,136.02
32,200,0,180.4
32,200,1,272.49
32,300,0,271.92
32,300,1,410
32,400,0,366.71
32,400,1,549.79
32,500,0,463.8
32,500,1,691.518
32,600,0,560.161
32,600,1,833.516
32,700,0,660.356
32,700,1,983.23
32,800,0,764.36
32,800,1,1128.37
64,10,0,13.8063
64,10,1,20.4962
64,20,0,25.9
64,20,1,35.9275
64,30,0,36.32
64,30,1,52.2
64,40,0,49.1863
64,40,1,69.69
64,50,0,59.85
64,50,1,86.44
64,60,0,71.7575
64,60,1,102.62
64,70,0,82.97
64,70,1,118.494
64,80,0,93.4
64,80,1,135.715
64,90,0,106.04
64,90,1,152.4
64,100,0,116.565
64,100,1,169.3
64,200,0,237.19
64,200,1,338.452
64,300,0,361.51
64,300,1,513.18
64,400,0,488.884
64,400,1,688.33
64,500,0,620.121
64,500,1,870.51
64,600,0,755.74
64,600,1,1060.48
64,700,0,895.79
64,700,1,1261.34
64,800,0,1043.21
64,800,1,1467.87
128,10,0,21.39
128,10,1,30.54
128,20,0,37.85
128,20,1,53.7425
128,30,0,55.2662
128,30,1,77.35
128,40,0,72.4062
128,40,1,100.45
128,50,0,89.9775
128,50,1,122.698
128,60,0,108.98
128,60,1,148.49
128,70,0,125.75
128,70,1,172.44
128,80,0,140.75
128,80,1,194.25
128,90,0,161.43
128,90,1,219.98
128,100,0,178.2
128,100,1,240.73
128,200,0,362.6
128,200,1,484.18
128,300,0,547.75
128,300,1,739.582
128,400,0,742.16
128,400,1,992.1
128,500,0,966.84
128,500,1,1279.26
128,600,0,1183.14
128,600,1,1550.72
128,700,0,1412.21
128,700,1,1842.1
128,800,0,1640.71
128,800,1,2142.13
256,10,0,32.37
256,10,1,49.54
256,20,0,55.95
256,20,1,83.25
256,30,0,79.8125
256,30,1,117.84
256,40,0,104.63
256,40,1,151.66
256,50,0,129.175
256,50,1,186.254
256,60,0,155.71
256,60,1,220.101
256,70,0,179.64
256,70,1,255.86
256,80,0,203.65
256,80,1,290.75
256,90,0,230.03
256,90,1,324.42
256,100,0,257.47
256,100,1,363
256,200,0,519.45
256,200,1,724.69
256,300,0,802.259
256,300,1,1112.2
256,400,0,1105.63
256,400,1,1514.02
256,500,0,1418.58
256,500,1,1963.86
256,600,0,1760.1
256,600,1,2448.38
256,700,0,2106.47
256,700,1,2972.78
256,800,0,2477.97
256,800,1,3288.73
